id;vendor_id;ad_order_id;total
14;6;10;3.9
20;6;13;3.9
26;6;24;3.9
34;6;38;3.9
39;6;44;3.9
40;6;48;3.9
41;6;50;3.9
43;6;76;3.9
48;6;95;3.9
58;6;114;3.9
59;6;123;3.9
64;6;139;3.99
65;6;145;3.99
68;6;150;3.99
72;6;153;3.99
75;6;154;3.99
77;6;157;3.99
78;6;158;3.99
80;6;160;3.99
83;6;169;3.99
84;6;170;3.99
86;6;174;3.99
88;6;177;3.99
92;6;191;3.99
93;6;192;3.99
100;6;199;3.99
101;6;201;3.99
102;6;203;3.99
103;6;207;3.99
104;6;215;3.99
106;6;228;3.99
107;6;231;3.99
109;6;234;3.99
111;6;236;3.99
117;6;238;3.99
128;6;252;3.99
129;6;254;3.99
134;6;265;3.99
138;6;269;3.99
144;6;280;3.99
145;6;284;3.99
147;6;291;3.99
149;6;295;3.99
156;6;305;3.99
163;6;316;3.99
167;6;318;3.99
168;6;319;3.99
180;6;338;3.99
183;6;360;3.99
187;6;388;3.99
190;6;391;3.99
204;6;410;3.99
209;6;420;9.99
210;6;421;3.99
211;6;425;3.99
216;6;436;9.99
218;6;439;3.99
220;6;447;3.99
222;6;449;3.99
225;6;451;3.99
226;6;457;3.99
228;6;460;3.99
243;6;472;3.99
245;6;474;3.99
250;6;485;3.99
251;6;487;3.99
255;6;492;3.99
256;6;500;9.99
259;6;506;3.99
261;6;508;3.99
262;6;509;3.99
264;6;525;3.99
265;6;526;3.99
266;6;527;3.99
268;6;543;3.99
270;6;552;3.99
273;6;557;3.99
275;6;560;3.99
285;6;569;3.99
286;6;570;3.99
291;6;591;3.99
298;6;599;3.99
302;6;611;3.99
310;6;622;3.99
314;6;642;3.99
316;6;645;3.99
317;6;647;3.99
322;6;669;3.99
324;6;672;3.99
333;6;688;3.99
334;6;692;3.99
339;6;699;3.99
340;6;712;3.99
341;6;715;3.99
345;6;718;3.99
346;6;732;3.99
348;6;738;3.99
360;6;756;3.99
363;6;758;3.99
364;6;759;3.99
373;6;776;3.99
374;6;783;9.99
375;6;786;3.99
377;6;798;3.99
378;6;802;3.99
379;6;809;3.99
380;6;810;3.99
381;6;825;3.99
382;6;844;3.99
384;6;850;3.99
385;6;857;3.99
386;6;867;3.99
389;6;868;3.99
390;6;873;3.99
394;6;882;9.99
395;6;904;3.99
396;6;905;3.99
400;6;909;3.99
401;6;924;3.99
407;6;945;3.99
408;6;954;3.99
415;6;966;3.99
421;6;976;3.99
425;6;990;3.99
428;6;998;3.99
433;6;1006;3.99
435;6;1008;3.99
437;6;1009;3.99
438;6;1010;9.99
439;6;1014;3.99
440;6;1017;3.99
445;6;1024;9.99
457;6;1047;3.99
461;6;1051;3.99
463;6;1069;3.99
467;6;1078;3.99
473;6;1100;3.99
479;6;1105;3.99
487;6;1132;3.99
496;6;1136;3.99
497;6;1148;3.99
500;6;1154;3.99
504;6;1169;3.99
509;6;1193;3.99
511;6;1194;3.99
512;6;1198;3.99
513;6;1201;3.99
519;6;1214;3.99
520;6;1215;3.99
524;6;1246;3.99
526;6;1259;3.99
534;6;1272;3.99
535;6;1288;3.99
540;6;1309;3.99
542;6;1325;3.99
543;6;1326;3.99
544;6;1297;3.99
545;6;1342;3.99
547;6;1350;3.99
551;6;1358;3.99
553;6;1362;3.99
557;6;1370;3.99
558;6;1378;3.99
563;6;1381;3.99
564;6;1393;3.99
565;6;1408;3.99
566;6;1409;3.99
567;6;1413;3.99
575;6;1420;3.99
576;6;1415;3.99
580;6;1427;3.99
593;6;1439;3.99
598;6;1451;3.99
602;6;1456;3.99
604;6;1457;3.99
608;6;1462;3.99
610;6;1470;3.99
611;6;1478;3.99
613;6;1480;3.99
615;6;1482;3.99
618;6;1500;3.99
619;6;1502;3.99
622;6;1509;9.99
624;6;1516;3.99
628;6;1519;3.99
632;6;1524;3.99
633;6;1528;20
635;6;1536;9.99
639;6;1539;3.99
645;6;1546;3.99
647;6;1550;3.99
650;6;1553;3.99
652;6;1569;3.99
653;6;1571;3.99
656;6;1573;9.99
658;6;1578;9.99
659;6;1579;3.99
662;6;1585;9.99
665;6;1591;3.99
669;6;1595;3.99
670;6;1598;3.99
671;6;1599;3.99
672;6;1600;3.99
673;6;1601;3.99
677;6;1607;3.99
679;6;1609;3.99
684;6;1608;3.99
686;6;1615;3.99
688;6;1623;3.99
689;6;1625;3.99
692;6;1632;3.99
695;6;1635;3.99
696;6;1641;3.99
697;6;1645;3.99
699;6;1649;3.99
700;6;1650;3.99
707;6;1659;3.99
708;6;1660;3.99
713;6;1668;3.99
714;6;1670;3.99
715;6;1671;9.99
716;6;1672;3.99
717;6;1675;3.99
723;6;1684;3.99
726;6;1687;3.99
727;6;1692;3.99
729;6;1694;3.99
733;6;1701;3.99
734;6;1706;3.99
737;6;1708;3.99
738;6;1709;3.99
739;6;1713;3.99
741;6;1716;3.99
743;6;1718;3.99
747;6;1721;3.99
748;6;1722;3.99
753;6;1725;3.99
757;6;1728;3.99
759;6;1733;3.99
760;6;1734;3.99
762;6;1737;3.99
763;6;1738;3.99
764;6;1742;3.99
765;6;1743;3.99
773;6;1749;3.99
779;6;1751;3.99
782;6;1754;3.99
783;6;1759;3.99
784;6;1766;3.99
785;6;1767;3.99
